den;1
cuar;3
entendido;2
enrólate;1
luz;40
apenitas;1
des;3
acabó;2
apagado;1
papá;2
atardecía;1
metiéndose;2
náuseas;1
hable;2
orejas;3
plátanos;2
debieron;1
pata;1
hablo;3
papeles;4
cubriéndole;1
apoyó;2
cual;4
fueron;7
vidrio;1
pase;2
paso;14
encuentres;1
apartó;1
ampolle;1
habilite;1
paró;1
apagaba;1
aparté;1
retribución;1
enmedio;3
nombrarlo;1
venidera;1
desmañanada;1
sólo;48
pará;1
diciendo;10
palas;1
chacha;3
permaneció;1
sóstenes;1
habla;5
circulaba;1
soledad;1
negado;1
cuartos;1
revisar;1
secretamente;1
espirituales;1
cálmate;1
tristezas;1
tierra;60
malvado;1
besándoselas;1
despreocúpate;1
mina;1
durmió;2
gelatina;1
existes;1
retratarse;1
sirvió;1
inconscientes;1
cuca;3
emparentados;1
gemido;3
acabe;1
acabo;2
bullicio;1
campanas;5
dio;27
ellos;24
nuez;1
aliviara;1
apenas;17
estamparse;1
importaría;2
alcanzará;1
legal;1
suplica;2
mandaron;2
cuesta;4
alcanzaré;2
caminan;1
lloras;2
pasó;15
llorar;5
caminar;4
caminas;1
merece;2
conozco;4
hambres;1
embaucador;1
juntarse;1
batiendo;1
sobre;59
pasé;2
enfadado;1
tintineo;1
profundidad;1
final;2
confusión;1
sobra;3
apoyo;1
visión;2
necesitamos;6
apretaban;1
creía;3
tilcuate;6
anita;1
brotó;1
rebeldes;1
oscurecida;1
matando;1
lloviznando;1
dobló;1
consistía;1
frijoles;1
oíamos;1
desdoblada;1
dudas;2
oscurecido;1
tuvieron;1
algún;20
misa;3
enterrados;1
cesaba;1
terminamos;1
maría;3
lunas;1
cerrada;1
cuerdas;1
agüita;1
adeudo;1
una;148
bautizar;1
canses;1
nacimiento;1
lengua;5
irnos;1
maduraran;1
recostó;1
empañado;1
uno;30
grano;1
mira;10
regresará;1
mire;6
tierna;3
seguro;9
sabes;16
nacimos;1
regresaras;2
echaste;2
saber;14
guadalajara;1
mediciones;1
despacio;6
darse;3
mantecosos;1
pecadores;2
diecisiete;1
plomizo;1
tocaría;1
haber;25
descolorido;1
segura;6
loca;7
resortes;1
resurrección;1
pusieron;2
latir;1
papatrón;1
despertar;5
loco;2
cariñoso;1
terminado;3
despedirme;1
revolcaba;1
correosas;1
punto;1
ligando;1
contenta;3
despacho;2
sudor;5
ministerios;1
oficio;3
dulces;1
perder;3
contento;2
conjugado;1
nomás;14
mandarlo;1
alcancía;1
banca;1
oprimidos;1
setecientos;1
don;75
tembloroso;1
volvió;23
mantiene;1
dos;28
tibias;1
encerrarse;2
aconteciendo;1
dejando;7
fuerza;4
esas;11
encontré;6
amortigua;1
cortos;2
oreado;1
enjuagarme;1
compungida;1
punta;3
mal;21
lunes;1
espantapájaros;1
encontró;9
mar;10
miré;1
haciéndonos;1
felicidad;2
piedras;8
cometido;1
darte;1
manco;1
consagración;1
miró;12
varios;1
sudorosa;2
carretas;4
conocidas;1
acaba;5
pegue;1
lodo;2
envolvíamos;1
iguales;1
usa;1
válido;1
fuerte;4
rincón;7
impidiendo;1
sustento;1
entretenía;1
armen;1
desolado;1
gamaliel;5
uso;1
baje;2
ajeno;2
figuración;1
litros;1
baja;9
tocando;3
disponible;2
busque;3
lista;2
libro;2
cuidarles;1
enseñado;2
arrullaba;1
ideas;2
sospechando;1
agujeros;1
podadera;1
descompuso;1
picoteaban;1
agradecérselo;1
listo;1
grité;2
asechanzas;1
sorber;3
servir;2
gritó;3
necesitarás;1
crecidas;1
mandó;4
senos;4
animas;1
cupe;1
damasio;6
divirtiéndote;1
espuelas;2
rascaba;1
alboroto;3
cruzadas;1
pidiera;1
zahorinos;1
desventuradamente;1
préstamo;1
volcaba;1
bala;1
negras;1
doloritas;8
arrullar;1
podré;3
entretanto;1
encuentros;1
entablar;1
bajo;8
podrá;1
cubierta;2
aunque;42
mango;4
conseguir;3
petate;1
quedaban;3
lloraras;1
rayos;1
damiana;28
aprieta;2
saben;2
bañarme;1
llevárselas;1
almohada;4
rompiendo;2
consiente;1
despedirte;2
lola;4
entero;1
mandara;1
velando;1
cura;9
gustoso;1
rozarle;1
entera;2
tiempos;5
revolucionarios;2
saliendo;1
aceite;1
suspirar;1
hospitalidad;1
propia;2
malo;7
desilusión;1
restregada;1
labor;1
encontramos;2
perdió;3
bolsita;1
ésas;1
redonda;1
animal;3
mala;7
fregosos;2
cuñado;1
alcancé;4
tibieza;1
acuérdese;2
apagaban;1
córrete;1
propiedad;2
convencida;1
músicos;1
enseñaran;1
patas;1
moviendo;3
propio;3
mil;6
común;1
comulgado;1
mis;53
acercó;8
hombros;13
volver;8
debían;1
jugabas;1
ajustarían;1
debías;1
ruegue;1
aprendiz;1
jugaban;1
lágrimas;6
saliéndose;1
bardas;1
loma;2
percutir;1
mano;14
bajó;3
tenerlo;1
desaparecer;1
regresaba;4
sacarás;1
desaparecen;1
milpa;3
calurosa;1
ventila;1
sembrado;1
respaldo;1
pésame;1
agitando;1
todos;38
acortar;1
hallarás;1
desgracia;2
ocote;2
serán;1
místico;2
olvidar;1
arena;3
revolvía;1
cafiaspirinas;1
enterramos;1
hueco;4
galileo;1
serás;1
único;10
mamá;7
acontece;1
acaso;8
rompiera;1
devoto;1
regresado;3
54;1
avanzando;1
única;3
hacemos;1
